Respondent,YearsCodingProf
2397,3-5 years
2398,NA
2399,12-14 years
2400,3-5 years
2402,3-5 years
2403,0-2 years
2404,3-5 years
2405,9-11 years
2406,3-5 years
2409,6-8 years
2411,15-17 years
2413,6-8 years
2415,NA
2416,15-17 years
2417,0-2 years
2418,NA
2421,NA
2423,0-2 years
2424,18-20 years
2425,0-2 years
2426,3-5 years
2428,6-8 years
2429,3-5 years
2430,0-2 years
2431,12-14 years
2433,24-26 years
2438,9-11 years
2440,6-8 years
2441,0-2 years
2442,0-2 years
2443,0-2 years
2444,9-11 years
2446,3-5 years
2447,3-5 years
2448,6-8 years
2449,3-5 years
2450,0-2 years
2451,3-5 years
2452,0-2 years
2454,0-2 years
2455,9-11 years
2456,6-8 years
2459,9-11 years
2460,NA
2461,NA
2462,3-5 years
2463,NA
2464,3-5 years
2465,3-5 years
2466,0-2 years
2468,0-2 years
2469,9-11 years
2470,0-2 years
2472,0-2 years
2473,6-8 years
2475,9-11 years
2476,NA
2477,NA
2478,6-8 years
2480,9-11 years
2481,0-2 years
2482,0-2 years
2483,NA
2484,3-5 years
2485,3-5 years
2486,3-5 years
2487,0-2 years
2489,NA
2490,NA
2491,3-5 years
2494,12-14 years
2496,0-2 years
2497,0-2 years
2498,0-2 years
2500,0-2 years
2501,0-2 years
2502,0-2 years
2503,15-17 years
2505,NA
2506,0-2 years
2507,24-26 years
2508,NA
2510,0-2 years
2511,3-5 years
2512,6-8 years
2513,0-2 years
2514,0-2 years
2515,0-2 years
2517,0-2 years
2521,9-11 years
2522,3-5 years
2523,3-5 years
2525,21-23 years
2527,0-2 years
2528,6-8 years
2529,6-8 years
2531,21-23 years
2533,NA
2534,3-5 years
2535,9-11 years
2536,NA
2537,6-8 years
2538,0-2 years
2539,3-5 years
2540,0-2 years
2541,0-2 years
2542,6-8 years
2544,9-11 years
2545,9-11 years
2546,0-2 years
2547,3-5 years
2549,0-2 years
2550,12-14 years
2551,NA
2552,12-14 years
2553,3-5 years
2558,NA
2559,6-8 years
2560,9-11 years
2562,18-20 years
2563,3-5 years
2564,3-5 years
2565,3-5 years
2566,0-2 years
2567,3-5 years
2568,6-8 years
2570,3-5 years
2571,NA
2572,6-8 years
2573,27-29 years
2575,0-2 years
2576,NA
2577,12-14 years
2578,9-11 years
2579,0-2 years
2580,3-5 years
2582,0-2 years
2583,3-5 years
2586,0-2 years
2587,3-5 years
2589,21-23 years
2590,6-8 years
2592,12-14 years
2594,12-14 years
2595,6-8 years
2597,6-8 years
2598,6-8 years
2599,3-5 years
2602,6-8 years
2603,NA
2605,NA
2607,3-5 years
2608,0-2 years
2609,0-2 years
2610,21-23 years
2614,0-2 years
2615,3-5 years
2616,12-14 years
2617,6-8 years
2618,NA
2619,3-5 years
2620,0-2 years
2621,9-11 years
2623,24-26 years
2624,NA
2625,0-2 years
2626,NA
2627,3-5 years
2629,9-11 years
2630,3-5 years
2631,3-5 years
2633,21-23 years
2635,0-2 years
2636,3-5 years
2637,18-20 years
2639,9-11 years
2640,0-2 years
2641,NA
2643,0-2 years
2644,3-5 years
2646,3-5 years
2647,3-5 years
2648,0-2 years
2649,3-5 years
2650,NA
2651,0-2 years
2652,NA
2653,3-5 years
2654,3-5 years
2656,6-8 years
2657,3-5 years
2658,NA
2659,6-8 years
2660,0-2 years
2661,3-5 years
2662,6-8 years
2664,3-5 years
2665,12-14 years
2666,9-11 years
2667,0-2 years
2668,6-8 years
2669,0-2 years
2670,NA
2671,3-5 years
2672,6-8 years
2674,15-17 years
2675,6-8 years
2676,24-26 years
2678,NA
2680,3-5 years
2681,15-17 years
2682,NA
2683,6-8 years
2684,6-8 years
2685,0-2 years
2687,3-5 years
2688,21-23 years
2689,0-2 years
2690,0-2 years
2691,0-2 years
2692,9-11 years
2693,3-5 years
2694,9-11 years
2695,NA
2696,3-5 years
2697,3-5 years
2699,0-2 years
2700,NA
2702,0-2 years
2704,3-5 years
2707,6-8 years
2708,15-17 years
2709,3-5 years
2712,6-8 years
2713,18-20 years
2714,0-2 years
2716,3-5 years
2718,6-8 years
2719,6-8 years
2721,0-2 years
2723,15-17 years
2724,12-14 years
2725,3-5 years
2729,15-17 years
2731,6-8 years
2732,6-8 years
2733,NA
2734,NA
2735,3-5 years
2737,0-2 years
2738,12-14 years
2740,9-11 years
2741,3-5 years
2743,NA
2744,6-8 years
2745,0-2 years
2749,6-8 years
2750,0-2 years
2751,0-2 years
2752,0-2 years
2753,24-26 years
2754,0-2 years
2757,0-2 years
2758,NA
2760,NA
2761,3-5 years
2762,3-5 years
2763,0-2 years
2765,27-29 years
2766,3-5 years
2767,NA
2768,21-23 years
2771,NA
2772,0-2 years
2773,NA
2775,3-5 years
2777,3-5 years
2778,3-5 years
2779,3-5 years
2780,3-5 years
2781,0-2 years
2782,3-5 years
2783,6-8 years
2784,12-14 years
2785,3-5 years
2786,6-8 years
2787,0-2 years
2790,12-14 years
2792,0-2 years
2793,3-5 years
2794,NA
2795,3-5 years
2796,0-2 years
2798,3-5 years
2799,0-2 years
2802,0-2 years
2804,0-2 years
2807,3-5 years
2809,12-14 years
2810,6-8 years
2811,3-5 years
2812,18-20 years
2814,9-11 years
2815,6-8 years
2817,6-8 years
2819,15-17 years
2821,12-14 years
2822,15-17 years
2823,NA
2824,3-5 years
2825,9-11 years
2826,3-5 years
2827,0-2 years
2829,15-17 years
2830,9-11 years
2832,3-5 years
2833,NA
2834,6-8 years
2836,9-11 years
2838,6-8 years
2839,NA
2841,9-11 years
2844,6-8 years
2845,12-14 years
2847,21-23 years
2848,0-2 years
2850,12-14 years
2851,15-17 years
2852,NA
2853,9-11 years
2854,NA
2855,15-17 years
2858,3-5 years
2859,0-2 years
2861,6-8 years
2862,3-5 years
2863,6-8 years
2864,12-14 years
2866,9-11 years
2867,NA
2869,9-11 years
2870,0-2 years
2871,NA
2873,6-8 years
2874,3-5 years
2875,NA
2878,3-5 years
2879,9-11 years
2880,9-11 years
2881,12-14 years
2885,9-11 years
2892,0-2 years
2893,3-5 years
2894,3-5 years
2895,3-5 years
2896,3-5 years
2897,6-8 years
2901,3-5 years
2902,0-2 years
2907,9-11 years
2908,0-2 years
2910,27-29 years
2913,0-2 years
2914,12-14 years
2915,NA
2916,6-8 years
2919,3-5 years
2921,NA
2923,12-14 years
2926,3-5 years
2927,12-14 years
2929,0-2 years
2930,0-2 years
2931,3-5 years
2936,30 or more years
2937,9-11 years
2938,3-5 years
2940,12-14 years
2941,18-20 years
2942,18-20 years
2943,0-2 years
2944,6-8 years
2945,18-20 years
2947,3-5 years
2948,3-5 years
2949,0-2 years
2950,6-8 years
2952,3-5 years
2953,3-5 years
2954,18-20 years
2955,6-8 years
2957,6-8 years
2958,3-5 years
2959,0-2 years
2962,6-8 years
2963,3-5 years
2964,0-2 years
2965,3-5 years
2966,6-8 years
2967,NA
2969,NA
2973,NA
2974,0-2 years
2977,0-2 years
2979,9-11 years
2980,3-5 years
2981,3-5 years
2983,3-5 years
2986,6-8 years
2987,NA
2988,NA
2989,6-8 years
2991,6-8 years
2992,6-8 years
2993,NA
2994,6-8 years
2995,6-8 years
2996,0-2 years
2998,12-14 years
2999,3-5 years
3000,NA
3001,0-2 years
3003,0-2 years
3004,0-2 years
3007,6-8 years
3008,0-2 years
3009,0-2 years
3010,9-11 years
3012,0-2 years
3013,0-2 years
3014,NA
3015,3-5 years
3017,9-11 years
3018,0-2 years
3019,6-8 years
3021,3-5 years
3022,6-8 years
3023,NA
3025,0-2 years
3026,0-2 years
3027,6-8 years
3029,6-8 years
3030,12-14 years
3032,9-11 years
3034,12-14 years
3035,6-8 years
3037,0-2 years
3039,3-5 years
3042,0-2 years
3043,3-5 years
3047,3-5 years
3049,3-5 years
3050,NA
3051,9-11 years
3053,6-8 years
3054,0-2 years
3055,21-23 years
3056,6-8 years
3058,3-5 years
3059,3-5 years
3060,18-20 years
3061,3-5 years
3062,18-20 years
3065,0-2 years
3066,0-2 years
3067,3-5 years
3068,0-2 years
3071,12-14 years
3072,30 or more years
3073,0-2 years
3074,12-14 years
3076,NA
3077,NA
3078,9-11 years
3080,6-8 years
3082,9-11 years
3083,3-5 years
3085,3-5 years
3087,18-20 years
3088,3-5 years
3089,0-2 years
3090,3-5 years
3091,NA
3092,3-5 years
3093,0-2 years
3094,30 or more years
3097,6-8 years
3098,0-2 years
3099,3-5 years
3100,15-17 years
3101,0-2 years
3102,0-2 years
3103,0-2 years
3104,3-5 years
3107,3-5 years
3108,NA
3109,3-5 years
3111,3-5 years
3112,6-8 years
3113,12-14 years
3118,3-5 years
3120,NA
3121,0-2 years
3122,6-8 years
3123,0-2 years
3124,0-2 years
3125,6-8 years
3126,30 or more years
3127,3-5 years
3128,3-5 years
3131,0-2 years
3132,18-20 years
3133,0-2 years
3134,0-2 years
3135,3-5 years
3136,0-2 years
3137,0-2 years
3138,9-11 years
3140,9-11 years
3141,NA
3142,3-5 years
3143,3-5 years
3144,3-5 years
3146,9-11 years
3147,NA
3150,0-2 years
3151,9-11 years
3152,0-2 years
3153,0-2 years
3155,6-8 years
3156,6-8 years
3157,6-8 years
3159,0-2 years
3160,30 or more years
3161,NA
3168,6-8 years
3169,0-2 years
3170,NA
3172,3-5 years
3174,9-11 years
3178,9-11 years
3180,9-11 years
3181,0-2 years
3183,3-5 years
3184,3-5 years
3185,0-2 years
3186,0-2 years
3188,NA
3189,6-8 years
3190,0-2 years
3193,NA
3195,6-8 years
3196,6-8 years
3199,6-8 years
3200,0-2 years
3201,6-8 years
3203,6-8 years
3206,30 or more years
3210,9-11 years
3211,3-5 years
3212,0-2 years
3213,6-8 years
3214,NA
3215,3-5 years
3216,9-11 years
3217,0-2 years
3218,NA
3219,NA
3221,9-11 years
3223,3-5 years
3225,6-8 years
3226,9-11 years
3227,12-14 years
3229,0-2 years
3231,9-11 years
3232,NA
3233,3-5 years
3236,3-5 years
3237,0-2 years
3238,3-5 years
3239,30 or more years
3241,18-20 years
3242,3-5 years
3243,3-5 years
3244,NA
3245,NA
3246,NA
3247,0-2 years
3248,NA
3249,0-2 years
3250,6-8 years
3251,NA
3253,0-2 years
3255,6-8 years
3257,0-2 years
3259,6-8 years
3262,0-2 years
3263,12-14 years
3264,3-5 years
3265,0-2 years
3266,9-11 years
3267,3-5 years
3269,NA
3270,6-8 years
3274,0-2 years
3275,6-8 years
3276,0-2 years
3277,9-11 years
3278,18-20 years
3279,6-8 years
3281,3-5 years
3282,18-20 years
3284,3-5 years
3285,9-11 years
3286,9-11 years
3288,3-5 years
3290,6-8 years
3293,6-8 years
3294,0-2 years
3295,3-5 years
3296,3-5 years
3299,NA
3300,3-5 years
3302,3-5 years
3303,3-5 years
3307,15-17 years
3308,NA
3309,NA
3311,NA
3312,0-2 years
3315,15-17 years
3317,0-2 years
3318,0-2 years
3319,15-17 years
3320,NA
3324,0-2 years
3325,9-11 years
3327,NA
3328,9-11 years
3329,6-8 years
3330,3-5 years
3331,3-5 years
3332,6-8 years
3334,6-8 years
3335,NA
3337,30 or more years
3338,21-23 years
3339,18-20 years
3340,3-5 years
3341,3-5 years
3342,9-11 years
3343,3-5 years
3344,NA
3347,18-20 years
3348,12-14 years
3349,6-8 years
3351,6-8 years
3352,6-8 years
3354,3-5 years
3355,0-2 years
3356,6-8 years
3358,3-5 years
3360,0-2 years
3361,3-5 years
3364,9-11 years
3365,0-2 years
3366,9-11 years
3367,3-5 years
3371,3-5 years
3372,0-2 years
3374,9-11 years
3375,NA
3377,NA
3378,6-8 years
3379,3-5 years
3380,0-2 years
3384,3-5 years
3385,0-2 years
3387,6-8 years
3388,NA
3390,18-20 years
3392,0-2 years
3395,18-20 years
3396,0-2 years
3397,0-2 years
3399,6-8 years
3400,3-5 years
3401,3-5 years
3403,0-2 years
3404,NA
3405,0-2 years
3406,NA
3408,3-5 years
3412,NA
3413,30 or more years
3415,9-11 years
3416,12-14 years
3417,NA
3419,0-2 years
3420,3-5 years
3421,NA
3422,3-5 years
3423,0-2 years
3424,3-5 years
3426,6-8 years
3427,6-8 years
3428,18-20 years
3429,0-2 years
3430,3-5 years
3431,3-5 years
3434,30 or more years
3435,18-20 years
3436,0-2 years
3437,3-5 years
3438,3-5 years
3439,6-8 years
3440,3-5 years
3441,0-2 years
3442,9-11 years
3443,6-8 years
3444,12-14 years
3446,3-5 years
3447,6-8 years
3448,0-2 years
3451,NA
3453,12-14 years
3456,9-11 years
3457,0-2 years
3458,0-2 years
3459,3-5 years
3460,NA
3462,6-8 years
3463,3-5 years
3465,NA
3467,0-2 years
3468,30 or more years
3469,6-8 years
3470,15-17 years
3471,3-5 years
3472,3-5 years
3473,NA
3475,6-8 years
3476,NA
3479,3-5 years
3480,NA
3481,0-2 years
3482,3-5 years
3483,27-29 years
3484,3-5 years
3485,NA
3486,3-5 years
3487,3-5 years
3488,0-2 years
3489,6-8 years
3490,3-5 years
3492,6-8 years
3493,6-8 years
3495,3-5 years
3496,18-20 years
3497,3-5 years
3499,3-5 years
3500,3-5 years
3502,3-5 years
3503,9-11 years
3504,0-2 years
3505,18-20 years
3506,0-2 years
3507,3-5 years
3508,6-8 years
3509,30 or more years
3510,6-8 years
3511,3-5 years
3515,3-5 years
3518,6-8 years
3519,6-8 years
3521,NA
3524,3-5 years
3525,NA
3526,18-20 years
3527,0-2 years
3529,3-5 years
3531,NA
3532,0-2 years
3533,0-2 years
3534,9-11 years
3536,6-8 years
3537,3-5 years
3540,15-17 years
3541,3-5 years
3542,3-5 years
3543,3-5 years
3544,3-5 years
3546,6-8 years
3547,3-5 years
3548,6-8 years
3549,3-5 years
3553,3-5 years
3554,6-8 years
3555,3-5 years
3556,6-8 years
3559,3-5 years
3560,NA
3561,0-2 years
3562,NA
3563,12-14 years
3564,0-2 years
3565,0-2 years
3566,12-14 years
3568,3-5 years
3571,0-2 years
3573,0-2 years
3575,24-26 years
3578,9-11 years
3580,24-26 years
3583,18-20 years
3584,3-5 years
3585,3-5 years
3589,3-5 years
3591,12-14 years
3592,NA
3594,0-2 years
3595,3-5 years
3597,0-2 years
3598,3-5 years
3601,NA
3602,3-5 years
3604,NA
3606,3-5 years
3607,6-8 years
3608,15-17 years
3609,0-2 years
3610,0-2 years
3611,0-2 years
3612,NA
3613,15-17 years
3614,NA
3616,0-2 years
3617,NA
3618,0-2 years
3619,3-5 years
3620,NA
3621,24-26 years
3629,NA
3630,3-5 years
3632,NA
3633,12-14 years
3634,3-5 years
3636,0-2 years
3637,24-26 years
3638,0-2 years
3639,3-5 years
3641,6-8 years
3642,NA
3643,0-2 years
3645,12-14 years
3646,27-29 years
3647,15-17 years
3648,6-8 years
3653,9-11 years
3654,0-2 years
3655,9-11 years
3658,18-20 years
3659,0-2 years
3660,9-11 years
3661,NA
3662,15-17 years
3664,0-2 years
3666,12-14 years
3667,NA
3668,3-5 years
3671,3-5 years
3673,15-17 years
3674,24-26 years
3679,3-5 years
3681,6-8 years
3683,0-2 years
3684,6-8 years
3687,18-20 years
3689,6-8 years
3690,0-2 years
3692,0-2 years
3694,3-5 years
3695,NA
3696,9-11 years
3697,9-11 years
3698,3-5 years
3699,6-8 years
3700,NA
3701,0-2 years
3702,6-8 years
3703,3-5 years
3704,0-2 years
3705,0-2 years
3707,0-2 years
3709,0-2 years
3711,3-5 years
3712,3-5 years
3714,0-2 years
3715,0-2 years
3716,0-2 years
3717,6-8 years
3719,3-5 years
3720,NA
3721,0-2 years
3722,9-11 years
3723,15-17 years
3727,NA
3728,NA
3729,6-8 years
3732,15-17 years
3741,3-5 years
3743,3-5 years
3744,0-2 years
3745,6-8 years
3746,NA
3747,3-5 years
3749,0-2 years
3750,3-5 years
3751,0-2 years
3752,0-2 years
3753,0-2 years
3755,3-5 years
3756,3-5 years
3757,9-11 years
3759,3-5 years
3760,3-5 years
3761,3-5 years
3762,0-2 years
3763,3-5 years
3765,12-14 years
3766,21-23 years
3767,9-11 years
3768,NA
3772,9-11 years
3774,18-20 years
3775,NA
3776,0-2 years
3777,NA
3778,24-26 years
3781,3-5 years
3782,NA
3784,6-8 years
3786,0-2 years
3788,0-2 years
3789,12-14 years
3791,15-17 years
3792,NA
3793,0-2 years
3795,0-2 years
3797,3-5 years
3798,3-5 years
3800,0-2 years
3802,0-2 years
3803,3-5 years
3804,NA
3805,6-8 years
3806,3-5 years
3807,3-5 years
3809,3-5 years
3810,0-2 years
3811,3-5 years
3814,NA
3819,3-5 years
3820,0-2 years
3822,12-14 years
3823,3-5 years
3826,9-11 years
3827,3-5 years
3829,3-5 years
3830,3-5 years
3832,0-2 years
3833,0-2 years
3834,3-5 years
3835,18-20 years
3837,6-8 years
3838,30 or more years
3839,0-2 years
3841,0-2 years
3842,0-2 years
3843,3-5 years
3847,0-2 years
3848,9-11 years
3850,0-2 years
3851,6-8 years
3852,6-8 years
3854,3-5 years
3855,21-23 years
3856,NA
3857,6-8 years
3859,0-2 years
3860,3-5 years
3861,3-5 years
3862,0-2 years
3863,3-5 years
3864,0-2 years
3865,6-8 years
3866,3-5 years
3868,0-2 years
3869,6-8 years
3872,0-2 years
3874,NA
3875,NA
3876,0-2 years
3878,3-5 years
3879,18-20 years
3882,0-2 years
3883,3-5 years
3885,6-8 years
3886,6-8 years
3887,3-5 years
3890,0-2 years
3891,NA
3892,0-2 years
3893,9-11 years
3894,0-2 years
3895,3-5 years
3896,6-8 years
3898,0-2 years
3899,15-17 years
3902,NA
3903,27-29 years
3904,0-2 years
3905,0-2 years
3910,3-5 years
3911,NA
3912,6-8 years
3913,NA
3915,0-2 years
3916,0-2 years
3919,3-5 years
3920,3-5 years
3921,0-2 years
3922,12-14 years
3923,6-8 years
3924,3-5 years
3925,0-2 years
3926,6-8 years
3928,6-8 years
3929,9-11 years
3930,6-8 years
3935,0-2 years
3936,0-2 years
3937,0-2 years
3938,NA
3939,9-11 years
3940,3-5 years
3941,3-5 years
3942,0-2 years
3943,6-8 years
3944,0-2 years
3945,6-8 years
3946,15-17 years
3947,30 or more years
3948,3-5 years
3949,NA
3950,9-11 years
3951,NA
3952,NA
3953,18-20 years
3954,15-17 years
3956,6-8 years
3957,9-11 years
3961,0-2 years
3962,9-11 years
3964,6-8 years
3965,3-5 years
3966,3-5 years
3967,3-5 years
3968,6-8 years
3969,6-8 years
3970,3-5 years
3971,NA
3973,18-20 years
3974,6-8 years
3976,12-14 years
3977,NA
3978,0-2 years
3979,3-5 years
3980,6-8 years
3981,NA
3984,3-5 years
3985,NA
3986,9-11 years
3987,15-17 years
3988,NA
3989,3-5 years
3991,12-14 years
3994,3-5 years
3995,9-11 years
3996,0-2 years
3997,3-5 years
3998,3-5 years
4000,6-8 years
4001,NA
4002,NA
4004,9-11 years
4005,3-5 years
4007,3-5 years
4009,15-17 years
4010,6-8 years
4011,NA
4012,3-5 years
4013,3-5 years
4014,15-17 years
4015,3-5 years
4018,3-5 years
4019,6-8 years
4020,3-5 years
4021,9-11 years
4022,0-2 years
4024,9-11 years
4025,0-2 years
4027,0-2 years
4028,3-5 years
4029,3-5 years
4030,NA
4032,3-5 years
4033,6-8 years
4034,0-2 years
4036,12-14 years
4037,NA
4039,3-5 years
4040,3-5 years
4041,6-8 years
4042,NA
4043,12-14 years
4044,9-11 years
4045,24-26 years
4046,6-8 years
4047,3-5 years
4048,NA
4052,3-5 years
4053,NA
4054,0-2 years
4056,18-20 years
4057,9-11 years
4058,9-11 years
4059,9-11 years
4060,3-5 years
4061,0-2 years
4062,NA
4063,18-20 years
4066,NA
4067,3-5 years
4068,9-11 years
4069,9-11 years
4070,0-2 years
4071,15-17 years
4072,NA
4073,21-23 years
4074,3-5 years
4075,18-20 years
4076,3-5 years
4077,0-2 years
4078,3-5 years
4079,NA
4080,3-5 years
4082,3-5 years
4083,NA
4084,3-5 years
4085,6-8 years
4086,3-5 years
4087,3-5 years
4089,18-20 years
4091,9-11 years
4093,NA
4095,6-8 years
4096,9-11 years
4097,6-8 years
4098,NA
4099,3-5 years
4102,NA
4103,12-14 years
4105,6-8 years
4107,3-5 years
4108,15-17 years
4109,6-8 years
4111,3-5 years
4114,0-2 years
4115,6-8 years
4116,0-2 years
4117,NA
4118,6-8 years
4119,0-2 years
4121,9-11 years
4122,0-2 years
4124,0-2 years
4125,12-14 years
4126,NA
4127,9-11 years
4129,6-8 years
4130,18-20 years
4132,NA
4135,NA
4138,0-2 years
4139,0-2 years
4140,6-8 years
4141,6-8 years
4142,9-11 years
4143,12-14 years
4145,NA
4146,0-2 years
4147,3-5 years
4149,6-8 years
4150,6-8 years
4151,NA
4152,6-8 years
4153,6-8 years
4154,3-5 years
4156,6-8 years
4159,6-8 years
4160,0-2 years
4161,0-2 years
4163,12-14 years
4166,24-26 years
4167,NA
4168,18-20 years
4169,3-5 years
4171,3-5 years
4172,6-8 years
4174,NA
4175,0-2 years
4177,18-20 years
4178,0-2 years
4179,15-17 years
4181,0-2 years
4184,24-26 years
4185,9-11 years
4186,0-2 years
4187,0-2 years
4188,15-17 years
4191,3-5 years
4192,3-5 years
4193,6-8 years
4195,9-11 years
4198,3-5 years
4200,0-2 years
4204,0-2 years
4205,6-8 years
4206,9-11 years
4207,3-5 years
4208,0-2 years
4209,NA
4210,9-11 years
4212,15-17 years
4213,0-2 years
4215,3-5 years
4216,9-11 years
